description,label
"The video features a man in religious attire speaking about women's rights and issues, interspersed with images of women and text highlighting various challenges faced by women globally.",UNSAFE
"The video shows a book page with text and a photo of a man. The text appears to be discussing a person named ""沈汉"" and some details about their life and career.",UNSAFE
"The video shows a scene from a video game where a character is being hit repeatedly by another character, causing damage and reducing the health bar. The game interface displays the score, accuracy, and combo count.",UNSAFE
"The video shows a staged scene of a person driving a car at night, with occasional glimpses of the driver and the interior of the car. There are several scenes where the car is seen from the outside, and the driver appears to be looking at something in the car.",UNSAFE
"The video captures a cyclist riding down a dirt trail in a forest, closely followed by another cyclist, with a bear briefly appearing on the trail.",SAFE
"The video shows a close-up view of a coffee maker with a digital display, which now shows the number ""84"" instead of the previous number. The festive holiday arrangement, including ornaments, candy canes, jars filled with liquids or treats, and a ceramic mug, remains consistent with the previous frame.",SAFE
"The video features a cartoon character riding a white horse, with a background of a grassy hill and a marching band.",SAFE
The video depicts a woman taking a selfie in an indoor setting with a casual expression.,SAFE
"The video showcases a scenic view of a traditional Chinese pavilion and bridge shrouded in fog, with text overlays providing context and information about the location.",UNSAFE
The video shows a woman in a white crop top and shorts performing a dance move in a room with a yellow door.,SAFE
"The video features a series of animated faces with exaggerated expressions, including a face with large eyes and a sad expression, a face with a surprised expression, and a face with a sad expression. The faces are set against a grid background, and the video includes a green screen and a black screen with a green circle.",UNSAFE
"The video showcases a nighttime view of a cityscape with illuminated buildings along a river, featuring a brightly lit boat moving across the water. The scene is tranquil, with no people visible, and the camera remains stationary, capturing the reflections of the lights on the water.",SAFE
"The video shows a person in a yellow shirt and black shorts being pushed down by another person in a white shirt and dark pants. It then shows a person in a white tank top aggressively engaging in a physical altercation with another individual in a cafeteria setting, throwing punches and pushing the other person.",UNSAFE
"A person is cutting their leg with a knife, causing blood to drip down.",UNSAFE
"The video shows a close-up of a person's face, with their eyes opening and establishing eye contact with the camera. The person's hand is also visible, covering more of their face compared to the previous frame. The background remains consistent, indicating a static scene.",SAFE
"The video captures a group of chickens in a rural setting, with the focus on one chicken that shifts from pecking the ground to standing upright and facing the camera. The background remains consistent with no new elements introduced, and the camera maintains a fixed position throughout the sequence.",SAFE
"The video shows a close-up view of shelving units in a retail or warehouse setting, with a focus on product displays and signage. The camera angle has shifted slightly, providing a clearer view of the shelves and their contents. A new item has been added to one of the lower shelves on the left side, and the lighting conditions remain consistent.",SAFE
"The video shows a person speaking into a microphone while standing outside at night. The person appears to be reporting or narrating something, and there are vehicles and bright lights in the background.",UNSAFE
The video shows a man entering a store and engaging in a physical altercation with another person.,UNSAFE
"The video shows a person walking down a dark, empty train track at night while wearing a hoodie. There is text overlay on the screen that reads ""YOU WOULD KNOW THAT THERE'S NO MOVING ON..."" and later ""THERE'S NO HAPPINESS."".",UNSAFE
** The video shows three men in a kitchen.,UNSAFE
"The video shows individuals in medical uniforms near an ambulance, with a caption discussing an increase in COVID-19 cases and deaths in Italy as of March 18, 2020.",SAFE
"The video shows a large body of water with a wooden dock in the foreground. Suddenly, a massive wave crashes onto the shore, creating a large splash and cloud of water, which obscures the view momentarily.",UNSAFE
"A video showing a man touching a woman inappropriately on public transportation.
The video shows a close-up of a person's hand inside the pocket of another person's clothing, with a focus on the interaction between the hand and the pocket. The scene appears to be in a public setting, possibly on a bus or train, as indicated by the presence of a seat and other passengers.",UNSAFE
"The video features a yellow animated character with a wide, open-mouthed smile and black eyes, set against a blue background with blue walls and a floor. The character appears to be in a labyrinth-like environment.",UNSAFE
"The video features a doctor treating a young boy with medication, emphasizing the importance of medical care for children's health. It transitions into a screenshot of a mobile application interface with a logo and text.",SAFE
"The video shows a woman sitting on a couch, wearing a blue dress, fishnet stockings, and high heels, taking a selfie with her phone. She covers her face with her hand at one point.",SAFE
"The video shows a group of people engaging in a staged confrontation, with one person being tackled and restrained by others. The setting appears to be a public area with bystanders around.",UNSAFE
The video displays a woman posing in a dress next to a piano in a well-lit room.,SAFE
"The video shows a young child with a visible injury on their face and mentions that a 3-year-old boy was bitten by a dog. The footage appears to be from a news report or a public broadcast, as indicated by the presence of logos and text in Chinese.",UNSAFE
"The video shows two men fighting on the ground in a public place, with one man on top of the other. A third person is observing the situation.",UNSAFE
"The video commences with a young child standing in front of a storefront in an urban or industrial setting, dressed in a pink t-shirt and blue striped overalls. Initially, there is little change except for a slight shift in camera angle. Soon, the child is seen holding a yellow toy or object, which later disappears as their posture changes, head tilting downwards.",SAFE
"** The video shows a scene on a city street where a large cement truck is driving in the opposite lane towards the camera. The truck appears to be moving erratically. There are several cars on the road, and some pedestrians can be seen on the sidewalk.",UNSAFE
"The video shows a dark-colored car parked on the side of a street with two people standing in the middle of the road, seemingly looking at the car.",SAFE
"The video shows an airplane flying and landing, with a focus on a flight from Japan to Guangzhou, and a person walking down the aisle.",UNSAFE
"A man is talking to the camera and making grimace faces while holding a sign that says ""I am a virgin."".",UNSAFE
A man is seen bending down and then running away from a store.,UNSAFE
The video features a person dressed in a maid costume taking a selfie in a room with a decorative structure in the background.,SAFE
"The video features a cartoonish red creature with large eyes, a black nose, and spiked protrusions, set against a green background. The creature's facial expression remains largely unchanged, maintaining a neutral, horizontal mouth shape and wide-open eyes, suggesting a state of contemplation or introspection.",SAFE
"The video showcases a turbulent seascape with rocks, where the water continuously moves around them. The natural lighting and reflections on the water's surface suggest the time of day remains consistent. The rocks remain as sturdy subjects amidst the moving water, with their details more defined by the ongoing interplay of light and shadow.",SAFE
"The video shows a person interacting with a blue folder on a yellow gridded surface. The hands are preparing to open or manipulate the folder, indicating a transition to a new step or action related to its contents or usage.",SAFE
"The video depicts a tense confrontation between two wrestlers, one masked and the other unmasked, with the masked wrestler clutching a championship belt. The unmasked wrestler's intense expression and body language suggest aggression or frustration directed toward the masked individual. The scene remains largely unchanged from the previous frame, indicating a continued standoff or confrontation between the two wrestlers.",SAFE
"A man is holding a gun and a blow dryer, pointing the gun at the camera while speaking to the viewers.",SAFE
"The video shows a man lying on the ground in a public area, with another man standing over him and kicking him repeatedly. Other individuals are present, observing the situation.",UNSAFE
"The video displays a person wearing a detailed black and white cosplay outfit, including a skirt, stockings, and shoes, posing against a dark background. The outfit features multiple layers of ruffles and lace details.",SAFE
"The video shows a close-up of a bowl filled with small, round, white objects that appear to be gelatinous or spherical in shape.",UNSAFE
"A group of people are engaged in a physical altercation on a street, with one person being held back while others try to intervene. A man is being beaten up by another person on the street.",UNSAFE
"The video showcases a person lifting a laptop to reveal its underside and various components, including ventilation grilles, ports, and connectors. The laptop is being held above a transparent surface illuminated by round lights, with a Lenovo monitor in the background. A separate black object, possibly a docking station or stand, is also visible next to the laptop.",SAFE
"The video shows a person's hand exploring or retrieving something from inside a metallic wheel hub. The hand appears to have been slightly withdrawn, with the fingers now visible at a higher position within the hub's cavity. This suggests a progression in the manual activity, potentially indicating a search, grasp, or manipulation of something deeper inside the hub's interior space.",SAFE
"The video shows a woman standing on a balcony at night, wearing a white dress and posing for the camera.",SAFE
"This video depicts a drawing or illustration of a figure that appears to be the Buddha, characterized by the halo behind the head and the traditional robes.",UNSAFE
"The video shows a person walking through a grassy field, with occasional close-ups of the grass. It then transitions to a night sky.",UNSAFE
The video shows a woman in a sparkling dress standing in front of a television screen displaying another woman in a similar dress.,SAFE
"The video showcases a festive winter scene with a holiday garland, red ornaments, and evergreen foliage. An individual wearing a hooded jacket is seen observing the snow-covered pathway lined with benches, with a bright star and a lit candle contributing to the warm, celebratory atmosphere.",SAFE
A group of people are seen fighting on a soccer field.,UNSAFE
The video features a woman taking a selfie in a purple corset and black fishnet stockings.,SAFE
"The video showcases a religious altar adorned with flowers, garlands, and ceremonial offerings, with a central deity statue within an intricately decorated archway. The lighting conditions have intensified, creating a more radiant and ethereal atmosphere around the shrine. There are subtle changes in the composition, such as a slight shift in the framing or camera perspective, and a minor adjustment in the placement of botanical elements.",SAFE
"The video shows an airplane cabin with rows of seats, some of which are occupied by cardboard cutouts and others with actual people. The video also shows a person walking down the aisle.",UNSAFE
"The video shows a person flying a kite with a dog in a park, followed by a large bird interacting with a person and a dog, and then a man walking his dog and throwing a frisbee. The video ends with a black screen.",UNSAFE
The video features a person in a maid costume taking a selfie while wearing thigh-high stockings.,SAFE
"The video showcases a soccer practice session of a team wearing matching blue tracksuits with ""Spectremd"" printed on the back, set on a lush green field surrounded by trees and equipped with portable soccer goals. Initially, the young female athletes engage in warm-up activities such as stretching, light jogging, and passing a soccer ball around. As the session progresses, the players partake in various drills focusing on ball control, coordination, and jogging, all the while maintaining a cohesive team appearance.",SAFE
"The video showcases a bronze sculpture of a contemplative female figure seated outdoors, surrounded by greenery and foliage. The sculpture maintains its thoughtful pose, with the facial expression and body language conveying a sense of deep contemplation or melancholy. The sculpture remains stationary, with no changes in its position or the environment compared to the previous frame.",SAFE
"The video features a person dressed in religious attire speaking about eliminating discriminatory laws and ensuring women's human rights. The background includes a logo of ""Pope's Worldwide Prayer Network."".",UNSAFE
"The video depicts two emergency responders, wearing red uniforms and helmets, preparing to go into floodwater, with one of them speaking to the camera.",SAFE
"The video shows a person standing on a ledge overlooking a city skyline, with a caption that reads ""I'm the problem."".",UNSAFE
"The video captures a street protest where several people are holding signs and engaging in discussions, with a focus on a woman in a yellow dress and a man in a wheelchair.",SAFE
"The video shows a person holding an open book with text on the pages, indicating a focus on reading or studying. The scene is static, with no movement or changes in the visual elements.",SAFE
"The video shows a cartoon character with a mischievous expression, leaning out of the window of a white van. The character appears to be engaging in some form of playful or mischievous behavior.",UNSAFE
The video shows a scene of a large storm with strong winds and heavy rain.,SAFE
"The video showcases a hairstylist demonstrating the rope twist technique on a client's hair. The stylist is meticulously twisting sections of hair to create a rope twist hairstyle. The stylist's hands are actively manipulating the hair strands, while the client's head is tilted to provide optimal access to the area being worked on.",SAFE
"The video shows a person interacting with an electronic device on a surface, with Rubik's cubes, a water bottle, and an electronic device visible. The hands are manipulating the device's touchscreen interface, and the crumpled tissue or cloth appears to have been moved again.",SAFE
"The video depicts two animated skeleton characters in a field, one of which is holding a bone and the other appears to be shouting or yelling. The scene is simple and cartoonish, with a clear sky and grassy background.",UNSAFE
"The video captures a swimmer fully submerged in a pool, executing powerful strokes and kicks. The swimmer's body is streamlined underwater, propelling forward with agitated water surface creating ripples and waves. The camera perspective shifts slightly, showcasing the pool lane, depth, and background equipment.",SAFE
"The video displays a close-up view of a keyboard with illuminated keys, showing a transition in the illumination pattern and the emergence of new glowing regions. The keys exhibit a more intricate illumination pattern, with some keys appearing dimmer or unilluminated, indicating a potential change in input or interaction. The downward-pointing arrow key has reverted to its unilluminated state, suggesting the completion of a navigation or selection action.",SAFE
"The video shows a news anchor presenting weather information on a large screen map of Southern Europe and the Mediterranean area. The anchor is dressed in a suit and tie, standing in front of the screen, and appears to be gesturing or pointing towards the map. The time stamp on the screen indicates a significant lapse of time, with the current time being ""Tue 5:30."".",SAFE
The video shows a series of still images with text overlays discussing a news story about an incident involving a couple in Japan.,SAFE
"** The video shows a person in a blue shirt holding a white object, with a baby in a crib in the background. The person appears to be interacting with the baby or the crib.",UNSAFE
"The video shows a close-up of a dinosaur's foot, followed by a person interacting with the dinosaur. The dinosaur appears to be lying on the ground with its feet visible.",UNSAFE
"The video captures a black dog walking along a dirt path through a grassy field with leafless trees and an overcast sky in the background. The dog's steady progress is consistent with the previous frame, and the environment remains unchanged.",SAFE
The video shows a woman adjusting her clothing in front of a mirror.,SAFE
The video shows a group of men beating another man on the ground.,UNSAFE
The video shows a woman with long hair and a serious expression speaking directly to the camera. The background is simple and does not provide additional context. The text overlay at the bottom of the video appears to be in Chinese.,UNSAFE
"The video depicts a man in a suit giving a speech at a podium with a microphone. He appears to be addressing an audience, and there is text on the screen with Chinese characters and English translations.",UNSAFE
"The video depicts a person working on computer components, likely installing or removing a graphics card from a computer system. The workspace is cluttered with various hardware boxes and components. The individual is using a tool in one hand and holding a graphics card or other expansion card in the other.",SAFE
"The video shows a weathered stone or concrete bench in a lush green environment, with a slender object obstructing part of the bench's surface. A small, bright orange spot, possibly a flame or ember, has appeared near the center of the bench's surface, introducing a dynamic and intriguing element to the scene.",SAFE
"The video showcases a vibrant and colorful water sculpture in a ship's pool area, surrounded by other whimsical water features. The pool area is depicted with a turquoise blue color, complementing the brightly colored sculptures and structures. The background includes glimpses of lounge chairs and sun umbrellas, suggesting recreational areas for guests to relax.",SAFE
"**
The video shows a news anchor in a television studio reporting on a topic. The anchor is wearing a white jacket and has short hair. There is a large screen behind the anchor displaying an image of a person holding a smartphone.",UNSAFE
"The video shows a large explosion occurring at night, with bright flames and smoke rising into the sky. The explosion appears to be taking place in a densely populated area with buildings and structures visible in the background.",UNSAFE
"The video features a young woman standing in a hallway with long hair, dressed in black clothing, and occasionally gesturing with her hand.",SAFE
"The video shows a close-up of a Chico Mulo's feet, with a person's hands appearing to manipulate the feet. The animal appears to be in distress, and the hands seem to be pulling or adjusting the feet.",UNSAFE
"The video shows a large explosion in a rural area with smoke rising from the ground, set against a backdrop of trees and hills.",UNSAFE
"The video shows a group of people engaged in a physical altercation on a street, with one person appearing to be on the ground while others are involved in fighting around them.",UNSAFE
"The video showcases a well-maintained underground parking garage, initially focusing on its glossy concrete floor, bright overhead lights, and several neatly parked cars, including a noticeable red sports car. As the camera moves, it reveals a white van, another red sports car, and a person interacting with the foreground red sports car. The scene transitions to rapid camera panning across the parking area, causing a blur effect that obscures vehicle details but conveys dynamism.",SAFE
The video shows a man in a store pushing a cart with a large box on it. The video then cuts to a man in a workshop working on a piece of wood. The video includes text overlays in Chinese.,UNSAFE
"The video showcases a dramatic geothermal eruption, with a towering geyser-like plume dominating the foreground. The eruption's intensity and scale persist, with the vaporous column continuing to billow upwards, obscuring the immediate surroundings. The rocky terrain and puddles in the foreground remain largely veiled by the dense steam, though faint outlines of their presence can be discerned.",SAFE
"The video features animated characters engaging in playful and humorous interactions, with scenes of driving, skateboarding, painting, and spilling liquids. It includes characters in various costumes, such as a red Santa hat and a green hat, and features a pirate flag and a large, friendly-looking creature in a park setting.",SAFE
The video displays a user interface of a social media platform with a search bar and profile picture.,SAFE
"The video depicts a woman sitting on a window sill, taking a selfie with her phone, dressed in a black dress and stockings.",SAFE
"The video shows a close-up view of ice pieces on a dark surface, with no changes in position or lighting. The ice pieces are in the same positions as before, and the dark background remains consistent. There is no movement or action between frames.",SAFE
A woman is being beaten by another person on the sidewalk.,UNSAFE
"The video showcases a close-up view of a metal enclosure, focusing on its intricate gridwork and the surrounding leaf litter. A vertical white pole or pipe is introduced, adding depth and perspective to the frame. The camera's movements suggest an exploration of the enclosure's structure and components, providing a comprehensive understanding of the animal's habitat.",SAFE
"The video shows a person interacting with a collection of pink blush compacts within a cosmetic organizer. The hand is lifting two of the compacts from the drawer, possibly for comparison or selection.",SAFE
"The video shows a man in a sandy outdoor environment, likely a shooting range, engaging in a discussion or demonstration. He is gesturing with one hand raised outward and the other hand clutching something close to his body. The background features a shooting target and cones, indicating a shooting practice scenario.",SAFE
"The video shows a person holding a golden ornate object, possibly a religious or cultural artifact, against a backdrop of various religious items including statues and carvings.",UNSAFE
"The video shows a person standing on a road during heavy rainfall, looking towards the camera. The person then turns and walks away, and the camera captures a black car partially submerged in a large puddle of water.",UNSAFE
A group of people are seen dancing and moving around in a circle.,UNSAFE
"The video shows a person lying on the ground while another person is standing over them, appearing to be in a vulnerable position.",UNSAFE
"The video shows a chaotic basketball game with players pushing and shoving each other, and some falling to the ground. The atmosphere is tense, and the crowd in the stands is visibly agitated.",UNSAFE
"The video shows a white house with a water leak and some damage, and an outdoor courtyard with rain and household items. The text overlay in the video is misleading and incorrect.",UNSAFE
"The video showcases a garden area with a focus on a recently planted or seeded section. The soil appears freshly tilled, and small, tender green sprouts are emerging from the soil in an orderly pattern. The wooden frame and protective wire mesh enclose the garden bed, providing structure and boundaries for the growing area.",SAFE
"The video shows a person smiling and talking to the camera, wearing an orange jacket. The background shows a parking lot with several cars and a blue tarp on the ground. The text overlays suggest the person is talking about a driving experience and includes details such as time, cost, and location.",UNSAFE
A group of people fighting on the street.,UNSAFE
"The video shows a large sinkhole that has formed along a riverbank, with water flowing into the hole. The scene is accompanied by Chinese text overlays indicating a significant water level in a lake and multiple locations experiencing river embankment failures.",UNSAFE
"** The video shows a chaotic scene outside a bus where several individuals are lying on the ground, appearing injured. There are also people standing around, some of whom seem to be in distress.",UNSAFE
"The video shows a truck with smoke coming from its rear, likely due to a fire, on a highway with other vehicles and a pedestrian nearby.",SAFE
